timestamp,target pos (5),pos (5),speed (5),load (5),current (5),temp (5),status (5),moving (5),target pos (3),pos (3),speed (3),load (3),current (3),temp (3),status (3),moving (3),target pos (4),pos (4),speed (4),load (4),current (4),temp (4),status (4),moving (4)
2025-11-09T09:27:07.989Z,2047,2041,0,1064,0,37,0,0,1747,1765,33518,108,10,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:08.091Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:08.191Z,2047,2044,0,1040,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:08.292Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:08.393Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:08.493Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:08.593Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,1947,2347,0,0,0,36,0,0
2025-11-09T09:27:08.694Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,1947,2346,0,62,4,35,0,1
2025-11-09T09:27:08.795Z,2047,2044,0,1040,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,2266,33868,287,31,36,0,1
2025-11-09T09:27:08.895Z,2047,2055,50,56,2,37,0,0,1747,1748,0,8,0,35,0,0,1947,2075,34768,337,29,35,0,1
2025-11-09T09:27:08.996Z,2047,2056,0,64,3,37,0,0,1747,1748,0,8,0,35,0,0,1947,1958,33418,116,7,35,0,1
2025-11-09T09:27:09.096Z,2047,2056,0,64,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,1949,0,25,1,35,0,0
2025-11-09T09:27:09.196Z,2047,2056,0,64,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,1949,0,1061,1,35,0,1
2025-11-09T09:27:09.297Z,2047,2056,0,64,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,2032,1250,1299,24,36,0,1
2025-11-09T09:27:09.398Z,2047,2055,32818,56,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,2218,1800,1361,12,36,0,1
2025-11-09T09:27:09.499Z,2047,2051,0,24,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2337,700,1111,6,35,0,1
2025-11-09T09:27:09.599Z,2047,2051,0,24,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:09.700Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:09.799Z,2047,2051,0,24,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:09.899Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:09.999Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:10.100Z,2147,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.201Z,2147,2051,0,16,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.302Z,2147,2053,0,1136,3,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.404Z,2147,2094,350,1112,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.505Z,2147,2128,250,1084,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.607Z,2147,2141,50,1060,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:10.708Z,2147,2142,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:10.810Z,2147,2142,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
